Brand,Device,Capacity,Read IOPS,Write IOPS,Price,Link,
Samsung,Laptop,120GB,85K,32K,99.99,https://www.samsung.com/us/computer/memory-storage/MZ-7TD120BW-specs,
Samsung,Laptop,250GB,95K,44K,179.99,https://www.samsung.com/us/computer/memory-storage/MZ-7TD250BW-specs,
Samsung,Laptop,500GB,97K,63K,349.99,https://www.samsung.com/us/computer/memory-storage/MZ-7TD500BW,
Samsung,Laptop,128GB,97K,90K,139.99,https://www.samsung.com/us/computer/memory-storage/MZ-7PD128BW-specs,
Samsung,Laptop,256GB,100K,90K,249.99,https://www.samsung.com/us/computer/memory-storage/MZ-7PD256BW-specs,
Samsung,Laptop,512GB,100K,90K,499.99,https://www.samsung.com/us/computer/memory-storage/MZ-7PD512BW-specs,
Intel,Laptop,240GB,42000,52000,214,http://ark.intel.com/products/71527/Intel-SSD-335-Series-240GB-2_5in-SATA-6Gbs-20nm-MLC,
Intel,Laptop,60GB,12000,20500,74,http://ark.intel.com/products/67286/Intel-SSD-330-Series-60GB-SATA-6Gbs-25nm-MLC,
Intel,Laptop,120GB,22500,33000,114,http://ark.intel.com/products/67287/Intel-SSD-330-Series-120GB-SATA-6Gbs-25nm-MLC,
Intel,Laptop,180GB,42000,52000,169,http://ark.intel.com/products/67288/Intel-SSD-330-Series-180GB-SATA-6Gbs-25nm-MLC,
Intel,Laptop,60GB,15000,23000,99,http://ark.intel.com/products/66247/Intel-SSD-520-Series-60GB-2_5in-SATA-6Gbs-25nm-MLC,
Intel,Laptop,120GB,25000,40000,139,http://ark.intel.com/products/66248/Intel-SSD-520-Series-120GB-2_5in-SATA-6Gbs-25nm-MLC,
Intel,Laptop,180GB,50000,60000,189,http://ark.intel.com/products/66249/Intel-SSD-520-Series-180GB-2_5in-SATA-6Gbs-25nm-MLC,
Intel,Laptop,240GB,50000,60000,259,http://ark.intel.com/products/66250/Intel-SSD-520-Series-240GB-2_5in-SATA-6Gbs-25nm-MLC,
Intel,Laptop,480GB,50000,42000,504,http://ark.intel.com/products/66251/Intel-SSD-520-Series-480GB-2_5in-SATA-6Gbs-25nm-MLC,
